DATE,OPEN
January 01 2025,93396.03
December 31 2024,92643.25
December 30 2024,93527.2
December 29 2024,95174.05
December 28 2024,94160.19
December 27 2024,95704.98
December 26 2024,99292.7
December 25 2024,98675.91
December 24 2024,94684.34
December 23 2024,95099.39
December 22 2024,97281.32
December 21 2024,97756.2
December 20 2024,97484.7
December 19 2024,100070.69
December 18 2024,106147.3
December 17 2024,106030.69
December 16 2024,104293.58
December 15 2024,101373.53
December 14 2024,101451.44
December 13 2024,100046.65
December 12 2024,101167.8
December 11 2024,96656.06
December 10 2024,97441.23
December 09 2024,101237.06
December 08 2024,99921.91
December 07 2024,99916.71
December 06 2024,97074.22
December 05 2024,98741.54
December 04 2024,95988.53
December 03 2024,95854.6
December 02 2024,97276.01
December 01 2024,96461.34
